web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639392505-838;https://www.sociolla.com/177-cleanser?page=26;;https://www.sociolla.com/face-wash/26432-junkisui-foaming-wash;KOSE;Junkisui Foaming Wash;Junkisui Foaming Wash;Rp329.000;04.07;-21;19;Yes (17);No (0);Maybe (4)
1639393832-1055;https://www.sociolla.com/177-cleanser?page=12;;https://www.sociolla.com/cleansing-wipes/28637-cleanse-and-hydrate-aloe-vera-facial-wipes;St. Ives;Cleanse & Hydrate Aloe Vera Facial Wipes;Cleanse & Hydrate Aloe Vera Facial Wipes;Rp 59.900Rp 48.519;04.06;-4;4;Yes (1);No (1);Maybe (2)
1639393644-1024;https://www.sociolla.com/177-cleanser?page=14;;https://www.sociolla.com/face-wash/1480-dex-revitalift-foaming-gel-100-ml;Loreal Paris;Dex Revitalift Foaming Gel 100 ml;Dex Revitalift Foaming Gel 100 ml;Rp 69.000Rp 58.650;04.04;-71;65;Yes (41);No (10);Maybe (20)
1639394080-1095;https://www.sociolla.com/177-cleanser?page=10;;https://www.sociolla.com/face-wash/56213-brightness-reveal-creamy-cleanser;Cetaphil;Brightness Reveal Creamy Cleanser;Brightness Reveal Creamy Cleanser;Rp 169.000Rp 109.850;04.06;-16;14;Yes (11);No (0);Maybe (5)
1639393667-1028;https://www.sociolla.com/177-cleanser?page=14;;https://www.sociolla.com/face-wash/10870-ms-pimple-acne-solution-face-wash;Emina;Ms Pimple Acne Solution Face Wash;Ms Pimple Acne Solution Face Wash;Rp18.500;04.05;-592;493;Yes (350);No (92);Maybe (150)
1639393655-1026;https://www.sociolla.com/177-cleanser?page=14;;https://www.sociolla.com/face-wash/10730-seaweed-balancing-facial-wash;Wardah;Seaweed Balancing Facial Wash;Seaweed Balancing Facial Wash;Rp16.000;04.04;-293;253;Yes (161);No (56);Maybe (76)
1639392246-798;https://www.sociolla.com/177-cleanser?page=28;;https://www.sociolla.com/makeup-remover/16456-eye-makeup-remover;Silkygirl;Eye Makeup Remover;Eye Makeup Remover;Rp 32.000Rp 19.200;04.02;-117;93;Yes (42);No (30);Maybe (45)
1639393165-946;https://www.sociolla.com/177-cleanser?page=19;;https://www.sociolla.com/micellar-water/24331-vitamin-micellar-water-d-toxx-charcoal;Pond's;Vitamin Micellar Water Charcoal;Vitamin Micellar Water Charcoal;Rp 28.500Rp 21.375;04.08;(1k);948;Yes (873);No (25);Maybe (110)
1639394461-1155;https://www.sociolla.com/177-cleanser?page=6;;https://www.sociolla.com/face-wash/28475-hydra-rose-gel-to-foam-cleanser;Wardah;Hydra Rose Gel to Foam Cleanser;Hydra Rose Gel to Foam Cleanser;Rp31.500;04.07;(1k);944;Yes (830);No (23);Maybe (189)
1639392328-810;https://www.sociolla.com/177-cleanser?page=27;;https://www.sociolla.com/cleansing-balm/12387-banila-co-clean-it-zero-cleansing-balm-purifying;banila co.;Banila Co Clean It Zero Cleansing Balm Purifying;Banila Co Clean It Zero Cleansing Balm Purifying;Rp330.000;04.05;-46;44;Yes (35);No (5);Maybe (6)
1639393602-1017;https://www.sociolla.com/177-cleanser?page=14;;https://www.sociolla.com/face-wash/26435-white-beauty-spot-less-glow-facial-foam;Pond's;PONDS BRIGHT BEAUTY FACIAL FOAM;PONDS BRIGHT BEAUTY FACIAL FOAM;Rp 19.600 - Rp 29.950Rp 16.268 - Rp 23.361;04.05;-858;755;Yes (491);No (133);Maybe (234)
1639393196-951;https://www.sociolla.com/177-cleanser?page=19;;https://www.sociolla.com/cleanser/11114-original-soapless-facial-cleanser;Sensatia Botanicals;Original Soapless Facial Cleanser;Original Soapless Facial Cleanser;Rp 130.000Rp 104.000;04.02;-56;53;Yes (34);No (7);Maybe (15)
