web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639398187-1516;https://www.sociolla.com/2303-mask?page=20;;https://www.sociolla.com/sleeping-mask/27969-lullaby-sleeping-mask;Haple;Lullaby Sleeping Mask;Lullaby Sleeping Mask;Rp 129.000Rp 103.200;04.04;-106;88;Yes (59);No (10);Maybe (37)
1639399568-1728;https://www.sociolla.com/2303-mask?page=7;;https://www.sociolla.com/sheet-mask/23765-white-face-mask;LULULUN;White Face Mask (Brightening);White Face Mask (Brightening);Rp 89.000 - Rp 320.000Rp 62.300 - Rp 208.000;04.06;-182;147;Yes (122);No (13);Maybe (47)
1639399875-1775;https://www.sociolla.com/2303-mask?page=2;;https://www.sociolla.com/sheet-mask/10187-circle-point-black-chip-mask;Mediheal;Circle Point Black Chip Mask;Circle Point Black Chip Mask;Rp 49.000Rp 31.850;04.05;-331;306;Yes (226);No (27);Maybe (78)
1639396997-1335;https://www.sociolla.com/2303-mask?page=32;;https://www.sociolla.com/sheet-mask/14405-white-aqua-serum-sheet-mask-revitalize;Pixy;White Aqua Serum Sheet Mask - Revitalize;White Aqua Serum Sheet Mask - Revitalize;Rp15.000;04.02;-202;174;Yes (102);No (26);Maybe (74)
1639397788-1450;https://www.sociolla.com/2303-mask?page=24;;https://www.sociolla.com/sheet-mask/17078-less-on-skin-calming-cica-dressing-mask;Holika Holika;Less on Skin Calming Cica Dressing Mask;Less on Skin Calming Cica Dressing Mask;Rp 40.000Rp 26.000;04.06;-4;3;Yes (2);No (0);Maybe (2)
1639398307-1535;https://www.sociolla.com/2303-mask?page=19;;https://www.sociolla.com/sheet-mask/50656-mascure-hydra-solution-sheet-mask-hyaluron-acid;Missha;Mascure Hydra Solution Sheet Mask [Hyaluron Acid];Mascure Hydra Solution Sheet Mask [Hyaluron Acid];Rp 79.900Rp 35.955;04.09;-4;3;Yes (4);No (0);Maybe (0)
1639397247-1374;https://www.sociolla.com/2303-mask?page=29;;https://www.sociolla.com/sheet-mask/52512-bio-white-advanced-whitening-mask;Bio-essence;Bio White Advanced Whitening Mask;Bio White Advanced Whitening Mask;Rp 44.500Rp 35.600;null;null;null;null;null;null
1639398975-1637;https://www.sociolla.com/2303-mask?page=13;;https://www.sociolla.com/sheet-mask/16695-essenherb-bulgarian-rose-mask;essenHerb;EssenHerb Bulgarian Rose Mask;EssenHerb Bulgarian Rose Mask;Rp 20.900Rp 14.630;04.06;-248;236;Yes (186);No (9);Maybe (53)
1639398099-1502;https://www.sociolla.com/2303-mask?page=21;;https://www.sociolla.com/peel-off-mask/51677-peel-off-mask;Philocaly Skin;Peel Off Mask Oatmeal & Centella 1KG;Peel Off Mask Oatmeal & Centella 1KG;Rp285.000;04.07;-3;2;Yes (2);No (0);Maybe (1)
1639397651-1430;https://www.sociolla.com/2303-mask?page=26;;https://www.sociolla.com/wash-off-mask/24011-black-tea-mask-pack;HEIMISH;Black Tea Mask Pack;Black Tea Mask Pack;Rp 340.000Rp 204.000;04.04;-27;25;Yes (9);No (6);Maybe (12)
1639398223-1522;https://www.sociolla.com/2303-mask?page=20;;https://www.sociolla.com/sheet-mask/15113-vita-jelly;Faith In Face;Vita Jelly Sheet Mask;Vita Jelly Sheet Mask;Rp 29.000Rp 21.750;04.05;-89;80;Yes (62);No (7);Maybe (20)
1639398641-1583;https://www.sociolla.com/2303-mask?page=16;;https://www.sociolla.com/sheet-mask/15103-after-shower-look-hydrogel-mask;Faith In Face;After Shower Look Hydrogel Mask;After Shower Look Hydrogel Mask;Rp 47.000Rp 32.900;04.06;-174;170;Yes (129);No (3);Maybe (42)
1639398955-1634;https://www.sociolla.com/2303-mask?page=13;;https://www.sociolla.com/sleeping-mask/61209-late-this-night-brightening-sleeping-mask;Gentle Hour;Late This Night Brightening Sleeping Mask;Late This Night Brightening Sleeping Mask;Rp230.000;04.08;-1;0;Yes (1);No (0);Maybe (0)
1639398661-1586;https://www.sociolla.com/2303-mask?page=16;;https://www.sociolla.com/sheet-mask/23754-one-night-rescue-moisturizer;LULULUN;One Night Rescue - Moisturizer;One Night Rescue - Moisturizer;Rp 39.000Rp 29.250;04.06;-16;14;Yes (14);No (1);Maybe (1)
1639398915-1627;https://www.sociolla.com/2303-mask?page=13;;https://www.sociolla.com/sheet-mask/55448-l-oreal-paris-revitalift-freshmix-mask-untuk-kulit-cerah-dan-kenyal-dalam-15-menit-35g;Loreal Paris;L'Oreal Paris Revitalift Freshmix Mask;L'Oreal Paris Revitalift Freshmix Mask;Rp29.000;04.07;-352;346;Yes (293);No (6);Maybe (53)
1639399211-1673;https://www.sociolla.com/2303-mask?page=10;;https://www.sociolla.com/sheet-mask/16694-essenherb-tea-tree-mask;essenHerb;EssenHerb Tea Tree Mask;EssenHerb Tea Tree Mask;Rp 20.900Rp 14.630;04.06;-21;12;Yes (13);No (2);Maybe (6)
1639396427-1244;https://www.sociolla.com/2303-mask?page=37;;https://www.sociolla.com/sleeping-mask/25067-yuja-niacin-brightening-sleeping-mask;Some By Mi;Yuja Niacin 30 Days Miracle Brightening Sleeping Mask;Yuja Niacin 30 Days Miracle Brightening Sleeping Mask;Rp330.000;04.05;-374;316;Yes (237);No (52);Maybe (85)
1639397629-1426;https://www.sociolla.com/2303-mask?page=26;;https://www.sociolla.com/peel-off-mask/57891-pixy-glowssentials-clay-scrub-face-mask;Pixy;PIXY Glowssentials Clay + Scrub Face Mask;PIXY Glowssentials Clay + Scrub Face Mask;Rp33.000;04.07;-19;17;Yes (18);No (0);Maybe (1)
1639399307-1688;https://www.sociolla.com/2303-mask?page=9;;https://www.sociolla.com/sheet-mask/60980-acne-care-face-mask-4-niacinamide-probiotic-cica-grapefruit-extract;Dear Me Beauty;Acne Care Face Mask 4% Niacinamide + Probiotic + Cica + Grapefruit Extract;Acne Care Face Mask 4% Niacinamide + Probiotic + Cica + Grapefruit Extract;Rp14.900;04.07;-10;6;Yes (8);No (1);Maybe (1)
1639398334-1539;https://www.sociolla.com/2303-mask?page=19;;https://www.sociolla.com/sheet-mask/56522-mat-na-giay-a-pieu-madecassoside-gauze-mask;A'pieu;Madecassoside Gauze Mask;Madecassoside Gauze Mask;Rp 29.000Rp 26.100;null;null;null;null;null;null
1639396409-1241;https://www.sociolla.com/2303-mask?page=37;;https://www.sociolla.com/sleeping-mask/54958-lng-cica-sleeping-mask-60ml-ol21;Laneige;LNG Cica Sleeping Mask 60ml (OL21);LNG Cica Sleeping Mask 60ml (OL21);Rp 450.000Rp 334.500;04.03;-8;5;Yes (4);No (1);Maybe (3)
1639399549-1725;https://www.sociolla.com/2303-mask?page=7;;https://www.sociolla.com/sheet-mask/16799-pumpkin-vita-ade-mask;Mediheal;Pumpkin Vita Ade Mask;Pumpkin Vita Ade Mask;Rp 19.000Rp 13.300;04.07;-67;62;Yes (54);No (4);Maybe (9)
1639399579-1730;https://www.sociolla.com/2303-mask?page=7;;https://www.sociolla.com/sheet-mask/16262-acne-facial-mask;Erha;Acneact Acne Facial Mask;Acneact Acne Facial Mask;Rp 31.350 - Rp 117.600Rp 27.588 - Rp 96.432;04.05;-33;28;Yes (21);No (3);Maybe (9)
