web-scraper-order;web-scraper-start-url;link;link-href;brand;product_name;category;price;rating;number_of_reviews;number_of_recommendations;repurchase_yes;repurchase_no;repurchase_maybe
1639388303-218;https://www.sociolla.com/179-treatment?page=38;;https://www.sociolla.com/eye-care/56603-age-corrector-firming-eye-cream;Erha;Age Corrector Firming Eye Cream 15g - Peptides & Pro-Retinol;Age Corrector Firming Eye Cream 15g - Peptides & Pro-Retinol;Rp 230.500Rp 198.230;04.04;-7;4;Yes (3);No (2);Maybe (2)
1639389366-389;https://www.sociolla.com/179-treatment?page=28;;https://www.sociolla.com/toner/60936-mc2-advance-soothing-essence-toner;Trueve;MC2 Advance Soothing Essence Toner;MC2 Advance Soothing Essence Toner;Rp 139.000Rp 125.100;04.05;-3;2;Yes (2);No (0);Maybe (1)
1639390138-514;https://www.sociolla.com/179-treatment?page=20;;https://www.sociolla.com/face-serum/60931-cica-soothing-serum;Everwhite;KSH Cica Soothing Serum;KSH Cica Soothing Serum;Rp 128.700Rp 102.960;04.09;-6;2;Yes (6);No (0);Maybe (0)
1639389237-367;https://www.sociolla.com/179-treatment?page=29;;https://www.sociolla.com/toner/9780-rose-floral-softening-toner;Secret Key;Rose Floral Softening Toner;Rose Floral Softening Toner;Rp 120.000Rp 84.000;04.04;-463;414;Yes (261);No (63);Maybe (139)
1639388565-259;https://www.sociolla.com/179-treatment?page=36;;https://www.sociolla.com/face-serum/16960-tea-tree-and-lemon-facial-c-serum;Sensatia Botanicals;Tea Tree & Lemon Facial C Serum;Tea Tree & Lemon Facial C Serum;Rp180.000;04.04;-19;10;Yes (8);No (5);Maybe (6)
1639388784-295;https://www.sociolla.com/179-treatment?page=33;;https://www.sociolla.com/toner/52173-acneact-witch-hazel-acne-blemish-toner;Erha;Acneact Witch Hazel Acne Blemish Toner;Acneact Witch Hazel Acne Blemish Toner;Rp 119.900Rp 105.512;04.06;-24;24;Yes (15);No (2);Maybe (7)
1639387587-108;https://www.sociolla.com/179-treatment?page=46;;https://www.sociolla.com/face-serum/60546-glow-it-up-serum;Raecca Beauty Care;Glow It Up Serum;Glow It Up Serum;Rp75.000;04.05;-1;1;Yes (1);No (0);Maybe (0)
1639388444-240;https://www.sociolla.com/179-treatment?page=37;;https://www.sociolla.com/toner/28478-hydra-rose-petal-infused-toner;Wardah;Hydra Rose Petal Infused Toner;Hydra Rose Petal Infused Toner;Rp125.000;04.07;-544;534;Yes (430);No (14);Maybe (100)
1639388052-180;https://www.sociolla.com/179-treatment?page=42;;https://www.sociolla.com/face-serum/56940-granactive-retinoid-multi-action-serum;Everwhite;Granactive Retinoid Multi-Action Serum;Granactive Retinoid Multi-Action Serum;Rp 192.500Rp 154.000;04.07;-13;7;Yes (9);No (1);Maybe (3)
1639390114-510;https://www.sociolla.com/179-treatment?page=20;;https://www.sociolla.com/toner/9670-supple-preparation-facial-toner;Dear Klairs;Supple Preparation Facial Toner;Supple Preparation Facial Toner;Rp 300.000Rp 240.000;04.05;(1k);974;Yes (773);No (77);Maybe (185)
